"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"25","2022-04-08","17:15:27","3min","SP9EDY","-19","FT8","20m","14.0751","Poland","SP","JO90OK","5966"
"77","2022-04-08","17:05:30","13min","IW8RPQ","-20","FT8","20m","14.0751","Italy","I","JM89DK","5966"
"243","2022-04-08","16:45:28","33min","SO7NA","-20","FT8","20m","14.0751","Poland","SP","JO91UJ","5963"
"44","2022-04-08","17:12:28","6min","OH5BUP","-15","FT8","20m","14.0751","Finland","OH","KP30KM","5960"
"142","2022-04-08","17:00:29","18min","SP9TMK","-16","FT8","20m","14.0751","Poland","SP","JN99MT","5959"
"205","2022-04-08","16:50:27","28min","SP9JQZ","-19","FT8","20m","14.0752","Poland","SP","JN99OT","5948"
"8","2022-04-08","17:15:50","3min","YL3MS","-10","FT8","20m","14.0750","Latvia","YL","KO35","5934"
"248","2022-04-08","16:43:30","35min","SP5TIC","-16","FT8","20m","14.0751","Poland","SP","KO02HE","5929"
"169","2022-04-08","16:57:30","21min","OH7LOA","-12","FT8","20m","14.0751","Finland","OH","KP52IR","5924"
"254","2022-04-08","16:42:29","36min","SP9AB","-20","FT8","20m","14.0751","Poland","SP","JO90VD","5918"
"19","2022-04-08","17:15:27","3min","SP5FCZ","-7","FT8","20m","14.0761","Poland","SP","KO02KE","5913"
"113","2022-04-08","17:02:30","16min","SP5GSM","-11","FT8","20m","14.0751","Poland","SP","KO02LG18","5911"
"382","2022-04-08","13:25:27","3h:53m","SP5AWL","-22","FT8","20m","14.0751","Poland","SP","KO02NH","5902"
"107","2022-04-08","17:03:27","15min","SP5XMD","-15","FT8","20m","14.0751","Poland","SP","KO02MD","5901"
"301","2022-04-08","16:27:30","51min","SP9VEY","-24","FT8","20m","14.0750","Poland","SP","KO00AB","5898"
"64","2022-04-08","17:08:29","10min","SQ7NSN","-13","FT8","20m","14.0751","Poland","SP","KO00GV","5891"
"258","2022-04-08","16:41:27","37min","SP7IIT","-20","FT8","20m","14.0751","Poland","SP","KO00HV81","5885"
"82","2022-04-08","17:05:29","13min","HA5BGG","-11","FT8","20m","14.0751","Hungary","HA","JN97OM12","5884"
"341","2022-04-08","15:36:30","1h:42m","JE6WUG","-16","FT8","20m","14.0750","Japan","JA","PM53MF62","5874"
"108","2022-04-08","17:03:27","15min","SP7JS","-13","FT8","20m","14.0751","Poland","SP","KO00IL","5866"
"12","2022-04-08","17:15:30","3min","YBØDRV/8","-16","FT8","20m","14.0751","Indonesia","YB","PJ21JL","5859"
"257","2022-04-08","16:41:30","37min","OM8CD","-8","FT8","20m","14.0751","Slovakia","OM","KN09DB63","5850"
"328","2022-04-08","16:15:29","1h:03m","JA6FEG","-15","FT8","20m","14.0751","Japan","JA","PM52IQ","5841"
"293","2022-04-08","16:28:29","50min","R1CAA","-16","FT8","20m","14.0750","Russia-EU","UA","KP51BA47NE","5840"
"58","2022-04-08","17:08:30","10min","HF7ST","-22","FT8","20m","14.0751","Poland","SP","KO00ON","5835"
"118","2022-04-08","17:01:31","17min","SQ9CAH","-18","FT8","20m","14.0751","Poland","SP","KN09OX","5815"
"17","2022-04-08","17:15:29","3min","OMØHGP","-11","FT8","20m","14.0751","Slovakia","OM","KN08OX","5783"
"131","2022-04-08","17:00:30","18min","R1BBL","-16","FT8","20m","14.0751","Russia-EU","UA","KP50CA","5774"
"69","2022-04-08","17:07:33","11min","SP8WH","-17","FT8","20m","14.0751","Poland","SP","KO11GF","5770"
"237","2022-04-08","16:46:31","32min","RA1AFS","-19","FT8","20m","14.0751","Russia-EU","UA","KP50EB","5769"
"154","2022-04-08","16:59:46","19min","LY4J","-24","FT8","20m","14.0751","Lithuania","LY","KO24MV","5768"
"381","2022-04-08","13:25:30","3h:53m","R1AC","-14","FT8","20m","14.0751","Russia-EU","UA","KO59EU87","5756"
"72","2022-04-08","17:07:27","11min","SP7QJF","-15","FT8","20m","14.0751","Poland","SP","KO10FQ09","5755"
"225","2022-04-08","16:48:29","30min","SP8RO","-13","FT8","20m","14.0750","Poland","SP","KO12RA68","5741"
"395","2022-04-08","12:33:30","4h:45m","HA8AU","-22","FT8","20m","14.0750","Hungary","HA","KN06MP","5725"
"406","2022-04-08","11:51:30","5h:27m","6K5BXQ","-23","FT8","20m","14.0750","South Korea","HL","PM45ON86","5717"
"344","2022-04-08","15:24:35","1h:54m","R1OAJ","-16","FT8","20m","14.0751","Russia-EU","UA","LP04","5666"
"222","2022-04-08","16:48:29","30min","UA1WFH","-14","FT8","20m","14.0750","Russia-EU","UA","KO46XA24","5551"
